loan_id,account_id,date,amount,duration,payments,status,DATE EDITED,,STATUS EDIT
6534,7542,971019,590820,60,9847,C,19-10-2021,,Running Contract
6791,8926,980123,566640,60,9444,C,23-01-2022,,Running Contract
5447,2335,971112,541200,60,9020,D,12-11-2021,,Client in debt
5132,817,950217,538500,60,8975,C,17-02-2019,,Running Contract
5569,2936,980120,504000,60,8400,C,20-01-2022,,Running Contract
6436,7049,980522,495180,60,8253,C,22-05-2022,,Running Contract
7142,10451,941219,482940,60,8049,D,19-12-2018,,Client in debt
6415,6950,970212,475680,48,9910,C,12-02-2021,,Running Contract
6625,7966,970907,473280,60,7888,D,07-09-2021,,Client in debt
5043,339,971225,468060,60,7801,C,25-12-2021,,Running Contract
5486,2516,970613,466608,48,9721,C,13-06-2021,,Running Contract
5976,4794,971227,465504,48,9698,D,27-12-2021,,Client in debt
5970,4774,950709,465072,48,9689,C,09-07-2019,,Running Contract
6228,6034,931201,464520,60,7742,B,01-12-2017,,Loan Not Paid
5731,3711,971105,460980,60,7683,D,05-11-2021,,Client in debt
5725,3679,960723,444864,48,9268,C,23-07-2020,,Running Contract
5561,2910,980829,437460,60,7291,C,29-08-2022,,Running Contract
5491,2545,980213,428784,48,8933,C,13-02-2022,,Running Contract
7101,10297,961118,421008,48,8771,C,18-11-2020,,Running Contract
7304,11349,951029,419880,60,6998,C,29-10-2019,,Running Contract
7154,10520,961205,417600,60,6960,C,05-12-2020,,Running Contract
6704,8377,950601,417060,60,6951,C,01-06-2019,,Running Contract
5419,2246,970205,415800,60,6930,C,05-02-2021,,Running Contract
6237,6075,980106,407952,48,8499,D,06-01-2022,,Client in debt
5830,4190,970828,405780,60,6763,C,28-08-2021,,Running Contract
5938,4650,960825,402000,60,6700,C,25-08-2020,,Running Contract
6055,5181,970428,399120,60,6652,C,28-04-2021,,Running Contract
6272,6226,941220,398640,60,6644,C,20-12-2018,,Running Contract
5329,1862,961016,396120,60,6602,C,16-10-2020,,Running Contract
7271,11186,961002,392460,60,6541,C,02-10-2020,,Running Contract
6338,6592,970824,390660,60,6511,C,24-08-2021,,Running Contract
6554,7637,970129,390096,48,8127,C,29-01-2021,,Running Contract
5589,3005,980605,390000,48,8125,C,05-06-2022,,Running Contract
5236,1374,970915,389136,48,8107,C,15-09-2021,,Running Contract
5282,1583,960824,388512,48,8094,D,24-08-2020,,Client in debt
5318,1808,980930,385584,48,8033,C,30-09-2022,,Running Contract
7209,10857,971130,385560,60,6426,D,30-11-2021,,Client in debt
5174,1093,970613,385104,48,8023,C,13-06-2021,,Running Contract
5563,2912,960229,380160,60,6336,C,29-02-2020,,Running Contract
6926,9455,980207,374760,60,6246,C,07-02-2022,,Running Contract
6585,7795,961029,372120,60,6202,C,29-10-2020,,Running Contract
5041,319,970711,369000,60,6150,C,11-07-2021,,Running Contract
6109,5422,960603,368880,60,6148,C,03-06-2020,,Running Contract
6239,6083,970928,360864,48,7518,D,28-09-2021,,Client in debt
5494,2572,960613,360000,48,7500,C,13-06-2020,,Running Contract
6006,4948,961115,359760,60,5996,C,15-11-2020,,Running Contract
5063,442,970710,357840,48,7455,D,10-07-2021,,Client in debt
4989,105,981205,352704,48,7348,C,05-12-2022,,Running Contract
6118,5477,971004,349392,48,7279,C,04-10-2021,,Running Contract
7100,10280,971231,348120,60,5802,C,31-12-2021,,Running Contract
5418,2245,950116,347952,48,7249,C,16-01-2019,,Running Contract
6938,9504,970310,341280,60,5688,C,10-03-2021,,Running Contract
7195,10774,980423,339168,48,7066,C,23-04-2022,,Running Contract
5532,2754,970504,335280,48,6985,C,04-05-2021,,Running Contract
5991,4858,980727,335184,48,6983,D,27-07-2022,,Client in debt
5772,3906,980308,334620,60,5577,C,08-03-2022,,Running Contract
6705,8381,970725,333648,48,6951,D,25-07-2021,,Client in debt
5042,330,980712,331584,48,6908,C,12-07-2022,,Running Contract
7004,9869,950315,331560,60,5526,C,15-03-2019,,Running Contract
5865,4354,981030,327660,60,5461,C,30-10-2022,,Running Contract
6038,5120,940810,323472,48,6739,A,10-08-2018,,Contract Finished
6821,9037,980915,321936,48,6707,C,15-09-2022,,Running Contract
6235,6062,980419,321360,60,5356,C,19-04-2022,,Running Contract
5889,4456,980209,321240,60,5354,C,09-02-2022,,Running Contract
5611,3115,961115,321180,60,5353,C,15-11-2020,,Running Contract
6063,5213,960425,320976,48,6687,D,25-04-2020,,Client in debt
6550,7614,960518,320592,48,6679,C,18-05-2020,,Running Contract
4967,37,981014,318480,60,5308,D,14-10-2022,,Client in debt
6028,5072,970209,317520,60,5292,C,09-02-2021,,Running Contract
7292,11317,981122,317460,60,5291,C,22-11-2022,,Running Contract
5724,3678,950205,316140,60,5269,D,05-02-2019,,Client in debt
5435,2279,980601,314688,48,6556,C,01-06-2022,,Running Contract
7227,10942,951002,314520,60,5242,C,02-10-2019,,Running Contract
7050,10065,970923,311232,48,6484,C,23-09-2021,,Running Contract
6695,8320,970604,309660,60,5161,C,04-06-2021,,Running Contract
6540,7562,951231,309600,48,6450,C,31-12-2019,,Running Contract
5145,915,950916,309552,48,6449,C,16-09-2019,,Running Contract
5758,3859,970502,307200,60,5120,D,02-05-2021,,Client in debt
7085,10202,970619,305424,48,6363,C,19-06-2021,,Running Contract
6087,5313,940227,300660,60,5011,C,27-02-2018,,Running Contract
7001,9859,970810,300600,60,5010,C,10-08-2021,,Running Contract
5918,4576,940604,300204,36,8339,A,04-06-2018,,Contract Finished
5395,2176,940730,299088,36,8308,B,30-07-2018,,Loan Not Paid
6350,6678,970709,294384,48,6133,C,09-07-2021,,Running Contract
5363,2051,970422,293880,60,4898,D,22-04-2021,,Client in debt
